அதிகாரம்	இயல்	பா	வகை	சரி/தவறு	விதி	விளக்கம்	எடுத்துக்காட்டு	தொடுப்பு
1	2	10	சொல் முதல்	சரி	^((ஆ|ஈ|ஊ|ஏ|ஐ|ஓ)|(க|த|ந|ப|ம)(ா|ீ|ூ|ே|ை|ோ)|ச(ா|ீ|ூ|ே|ோ)|வ(ா|ீ|ே)|ஞா|யா)$	உயிர் அல்லது உயிர் மெய் நெடில் எழுத்துக்கள் மட்டுமே ஓர் எழுத்துச் சொற்களாக வரும்		
1	2	26	சொல் முதல்	சரி	^(அ|ஆ|இ|ஈ|உ|ஊ|எ|ஏ|ஐ|ஒ|ஓ|ஔ)	உயிர் எழுத்துக்கள் அனைத்தும் சொல்லின் முதலெழுத்தாக வரும்		
1	2	27	சொல் முதல்	தவறு	^(க்|ங்|ச்|ஞ்|ட்|ண்|த்|ந்|ப்|ம்|ய்|ர்|ல்|வ்|ழ்|ள்|ற்|ன்)	உயிர் உடன் வராத மெய் எழுத்துக்கள் பதினெட்டும் சொல்லின் முதலெதுத்தாக வராது		
1	2	28	சொல் முதல்	சரி	^(க|த|ந|ப|ம)(ா|ி|ீ|ு|ூ|ெ|ே|ை|ொ|ோ|ௌ)?	க,த,ந,ப,ம ஆகிய எழுத்துக்கள் உயிருடன் முதலெழுத்தாக வரும்		
1	2	29	சொல் முதல்	தவறு	^(ச)(ௌ)	ச உடன் ஔ தவிர மற்ற அனைத்து உயிர் எழுத்துக்களும் சேர்ந்து முதலெழுத்தாக வரும்		http://www.tamilvu.org/slet/l0100/l0100noo.jsp?song_no=62&head_id=1
1	2	29	சொல் முதல்	சரி	^(ச)(?!ௌ)	ச உடன் ஔ என்ற உயிர் சேர்ந்து முதலெழுத்தாக வராது		http://www.tamilvu.org/slet/l0100/l0100noo.jsp?song_no=62&head_id=1
1	2	30	சொல் முதல்	சரி	^(வ)(ா|ி|ீ|ெ|ே)	'வ' எனும் மெய் எழுத்து 'உ, ஊ, ஒ, ஓ' என்னும் நான்கு உயிர்களுடன் சேர்ந்து மொழிமுதல் வருவதில்லை		
1	2	31	சொல் முதல்	சரி	^(ஞ)(ா|ெ|ொ)	'ஞ' எனும் மெய் எழுத்து 'ஆ, எ, ஒ' என்னும் மூன்று உயிர்களுடன் சேர்ந்து மட்டுமே மொழிமுதல் வரும்		
1	2	32	சொல் முதல்	சரி	^யா	'ய' எனும் மெய் 'ஆ' எனும் உயிரைத் தவிர வேறு உயிருடன் மொழிமுதல் வருவதில்லை.		
1	2	36	சொல் கடை	சரி	(அ|ஆ|இ|ஈ|உ|ஊ|எ|ஏ|ஐ|ஒ|ஓ)$	'ஔ' தவிர அனைத்து உயிர் எழுத்துக்களும், சொல்லின் இறுதியில் வரலாம்		
1	2	37	சொல் கடை	சரி	(கௌ|வௌ)$	'க' அல்லது 'வ' வுடன் வரும் பொழுது 'ஔ' இறுதியில் வரலாம்		
1	9	5	புணர்ச்சி	தவறு	குயாது$			
1	9	5	புணர்ச்சி	சரி	கியாது$			
